Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Floor,Status,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Furnishing,Age of Construction,link,Balcony,Project,Price,Covered Parking,Super Built-up Area,Developer,Facing,Lifts,Car parking,Landmarks,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Amenities,Price per sqft,Configuration,Tower & Unit,Floors allowed for construction,Unit,Bath,Bed,Type of Ownership,RERA ID,Authority Approval,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Approved,Dimensions(L X B),No of Open Sides,Additional Features,Floors allowed,Brokerage Response
4 BHK  3500 Sq-ft For Rent in,₹1.2 Lac,"Hitech City, Hyderabad",4.0,5.0,2.0,3442sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,,Immediately,Semi-Furnished,5 to 10 years,"₹1.2 Lac|₹10,000Monthly Maintenance",₹3.8 Lac,"944e144e2782., Hitech City, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/4-BHK-3500-Sq-ft-Villa-FOR-Rent-Hitech-City-in-Hyderabad&id=4d423832303132303139,,,,1.0,,,East,,"1 Covered, 1 Open",Near Hitech city railways station,"Marble, Vitrified",Main Road,"Puja Room, Servant Room",24 Hours Available,No/Rare Powercut,,,,,,1.0,,,,,,,,,,,,,,,,,
5 BHK Residential House  For Rent,₹2.0 Lac,"East Marredpally, Hyderabad",5.0,5.0,,,Ground(Out of 2 Floors),Immediately,Furnished,,₹2 Lac,,"East Marredpally, Hyderabad - Secunderabad City, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/5-BHK-6000-Sq-ft-Residential-House-FOR-Rent-East-Marredpally-in-Hyderabad&id=4d423639373334343933,,,,,6000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK  1200 Sq-ft For Rent in,"₹9,000","independent house Nacharam, Hyderabad",2.0,2.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹9/sqft,,Immediately,Unfurnished,New Construction,"₹9,000|₹500Monthly Maintenance","₹18, 000","HNO 77, Raghavendra Nagar, Nacharam opp Johnson grammar school last lane towards ambedkar statue, Hyderabad, Andhra Pradesh",Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-in-Hyderabad&id=4d423732363136333233,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹6,000","MBR Nagar Road, Hyderabad",,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹10/sqft,,Immediately,Unfurnished,New Construction,"₹6,000",,"plot no 9 MBR nagar Bhadra reddy venture Narapally near nalla malla reddy engineering colleges Hyd, MBR Nagar Road, Hyderabad - East, Andhra Pradesh",Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-1100-Sq-ft-Residential-House-FOR-Rent-MBR-Nagar-Road-in-Hyderabad&id=4d423833353938333337,1.0,,,,,,East,,,Nalla Malla Reddy Engineering college,,Main Road,Puja Room,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
"4 BHK  4050 Sq-ft For Rent in Ramky Tranquillas,","₹70,000","Kismatpur, Hyderabad",4.0,6.0,,,,Immediately,Semi-Furnished,,"₹70,000",,"Kismatpur, Hyderabad - South, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/4-BHK-4050-Sq-ft-Villa-FOR-Rent-Kismatpur-in-Hyderabad&id=4d423634393439323435,,,₹ 5.09 Cr - ₹ 6.79 Cr,,4050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,,,,,,,,,,,,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,CCTV Camera,Multipurpose Hall,Cafeteria/Food Court,Banquet Hall,Intercom Facility,Vaastu Compliant,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up",,,,,", 105 Units",,,,,,,,,,,,,,,,
2 BHK Builder Floor 1000 Sq-ft For Rent in,"₹15,000","Hyderguda, Hyderabad",2.0,2.0,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,3(Out of 5 Floors),Immediately,Unfurnished,5 to 10 years,"₹15,000",,"Attapur Upparpally Hyderabad, Hyderguda, Hyderabad - South, Andhra Pradesh",Unfurnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Hyderaguda-Attapur-in-Hyderabad&id=4d423639393934313837,1.0,,,,,,East,,,Mintra Mall,Vitrified,Main Road,Puja Room,24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,Developer,,,,,,,,,,,
"2 BHK Flat 1117 Sq-ft For Rent in Sri Sai Grand Homes Bhagyalakshmi Condominiums,","₹12,000","Viharika Colony, Hyderabad",2.0,2.0,,1117sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,3(Out of 5 Floors),Immediately,Unfurnished,New Construction,"₹12,000|₹1,500Monthly Maintenance","₹24, 000","308., Viharika Colony, Hyderabad - East, Andhra Pradesh",Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-1117-Sq-ft-Multistorey-Apartment-FOR-Rent-Viharika-Colony-in-Hyderabad&id=4d423633333332363439,1.0,Sri Sai Grand Homes Bhagyalakshmi Condominiums,Call For Price,1.0,,,East,2.0,1 Covered,,,Main Road,Puja Room,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹15,000","Bharat Nagar Colony, Hyderabad",,,,,,,Semi-Furnished,,"₹15,000",₹2,"Surya Sadhan, Bharat Nagar Colony, Hyderabad - North, Andhra Pradesh",Semi-Furnished,,https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Residential-House-FOR-Rent-Bharat-Nagar-Colony-in-Hyderabad&id=4d423833363232323037,1.0,,,1.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,,West,,"1 Covered, 1 Open",Bharat pertol bunk,Vitrified,Main Road,,24 Hours Available,No/Rare Powercut,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
"3 BHK 2160 Sq-ft Flat/Apartment  For Rent in Creative Koven Udaya Cresent,","₹54,000","Silpa Park, Hyderabad",3.0,3.0,2.0,1800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹30/sqft,4(Out of 9 Floors),Immediately,Semi-Furnished,,"₹54,000|₹5,000Monthly Maintenance",₹1.1 Lac,"Kondapur, Hyderabad, Silpa Park, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-2160-Sq-ft-Multistorey-Apartment-FOR-Rent-Silpa-Park-in-Hyderabad&id=4d423833353938333439,,Creative Koven Udaya Cresent,₹ 2.61 Cr - ₹ 3.31 Cr,2.0,,Creative Koven Developers,West,2.0,2 Covered,Near KIMS Hospital,Vitrified,"Garden/Park, Main Road",None of these,24 Hours Available,No/Rare Powercut,2.0,"Outdoor Tennis Courts,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,CCTV Camera,Intercom Facility,Vaastu Compliant,Security,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting","₹ 6,500 - ₹ 9,776",3 BHK Flats,"4 Towers , 234 Units",10.0,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹10,500",Old Safilguda,2.0,2.0,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹13/sqft,,Immediately,Unfurnished,New Construction,"₹10,500","₹21, 000","Sudha nagar colony street no4, Old Safilguda, Hyderabad - Secunderabad City, Andhra Pradesh",Unfurnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Residential-House-FOR-Rent-Old-Safilguda-in-Hyderabad&id=4d423832383334343335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1668 Sq-ft For Rent in Narayanadri and Venkatadri,","₹40,000","Pragathi Nagar, Hyderabad",3.0,3.0,2.0,1300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,5(Out of 5 Floors),,Semi-Furnished,5 to 10 years,"₹40,000",,"503, Narayanadri, Tirumala Hills, Pragathi Nagar, Pragathi Nagar, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-1668-Sq-ft-Multistorey-Apartment-FOR-Rent-Pragathi-Nagar-in-Hyderabad&id=4d423833333137373339,,Narayanadri and Venkatadri,₹ 88.4 Lac - ₹ 1.05 Cr,,,,West,,,opposite Bajaj Electronics,Ceramic Tiles,"Main Road, Garden/Park",Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,
1 BHK Flat 1100 Sq-ft For Rent in,"₹20,000","sree ushodaya nivas, Hyderabad",,2.0,,,1(Out of 1 Floors),Immediately,Unfurnished,,"₹20,000",,"Hyderabad, Andhra Pradesh",Unfurnished,,https://www.magicbricks.com/propertyDetails/1-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Hyderabad&id=4d423832383639363631,,,,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
"3 BHK Flat 3175 Sq-ft For Rent in Meenakshi Bamboos,",₹1.0 Lac,"Gachibowli, Hyderabad",3.0,3.0,2.0,,13(Out of 16 Floors),Immediately,Furnished,,"₹1 Lac|₹11,000Monthly Maintenance",₹6.0 Lac,"B1302., Gachibowli, Hyderabad - West, Andhra Pradesh",Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/3-BHK-3175-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423536383331303639,,Meenakshi Bamboos,₹ 1.59 Cr - ₹ 2.0 Cr,3.0,3175sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,Meenakshi Group,East,,3 Covered,"Very Close to metro, AIG hospital, IKEA",Marble,"Garden/Park, Main Road",,24 Hours Available,No/Rare Powercut,1.0,"Fire Fighting Equipment,Cycling & Jogging Track,Rentable Community Space,Multipurpose Courts,Kids Play Area,Kids Club,Indoor Games Room,Flower Gardens,Piped Gas,Vaastu Compliant,Private Terrace/Garden,Security,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up",,,,,", 102 Units",,,,,,,,,,,,,,,,
"3 BHK Flat 1840 Sq-ft For Rent in My Home Tridasa,","₹78,990","Tellapur, Hyderabad",3.0,3.0,,,9(Out of 29 Floors),Immediately,Furnished,New Construction,"₹78,990|₹5,000Monthly Maintenance",₹2.1 Lac,"Tellapur, Hyderabad - West, Andhra Pradesh",Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1840-Sq-ft-Multistorey-Apartment-FOR-Rent-Tellapur-in-Hyderabad&id=4d423830323636323631,,My Home Tridasa,₹ 1.29 Cr - ₹ 1.89 Cr,,1840sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹43/sqft,My Home Constructions Pvt. Ltd.,West,,,ORR exit -10 minAirport-45minFinancial District-15 min,Vitrified,Garden/Park,,,,,"Badminton court,Half basketball court,Cycling & Jogging Track,Meditation Area,Indoor Games Room,Event Space & Amphitheatre,Bank & ATM,Grand Entrance lobby,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Service/Goods Lift,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 9,502 - ₹ 12,625","2, 3 BHK Flats","9 Towers , 1500 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 1800 Sq-ft For Rent in Hallmark Vicinia,","₹60,000","Narsingi, Hyderabad",3.0,2.0,2.0,1680sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,9(Out of 12 Floors),,Furnished,Less than 5 years,"₹60,000",,"B902., Narsingi, Hyderabad - West, Andhra Pradesh",Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Rent-Narsingi-in-Hyderabad&id=4d423833353037363433,,Hallmark Vicinia,₹ 1.49 Cr - ₹ 2.58 Cr,,,Hallmark Builders,West,,,Beside Myhome Avatar.,Vitrified,Garden/Park,"Puja Room, Study",,,,"Indoor Squash & Badminton Courts,Indoor Games Room,Event Space & Amphitheatre,Earth quake resistant,Cafeteria/Food Court,Maintenance Staff,Intercom Facility,Visitor Parking,Gymnasium,Swimming Pool,Lift,Power Back Up","₹ 10,547 - ₹ 10,625","2, 3 BHK Flats","2 Towers , 440 Units",,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹12,500","Vidyanagar, Hyderabad",2.0,2.0,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹16/sqft,3(Out of 3 Floors),Immediately,Semi-Furnished,10 to 15 years,"₹12,500",,"H no 15 3rd floor residential house stand alone building Vidya Nagar Adikmet Hyderabad, Vidyanagar, Hyderabad - Central, Andhra Pradesh",Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Residential-House-FOR-Rent-Vidyanagar-in-Hyderabad&id=4d423639363036373335,1.0,,,,,,East,,,Hanuman temple,"Vitrified, Marble",,Puja Room,24 Hours Available,No/Rare Powercut,,,,,,,,,,,,City Municipal Corporation,,,,,,,,,,,
3 BHK Flat 1860 Sq-ft For Rent in,"₹60,000","Lansum eldorado, Hyderabad",3.0,3.0,3.0,,6(Out of 40 Floors),Immediately,Semi-Furnished,New Construction,"₹60,000",,"NARSINGI Hyderabad, Hyderabad, Andhra Pradesh",Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/3-BHK-1860-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Hyderabad&id=4d423832333637363839,,,,2.0,1860sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,,East,,2 Covered,Om convention center.,"Ceramic Tiles, Normal Tiles/Kotah Stone","Garden/Park, Pool, Main Road, Not Available",Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK  2000 Sq-ft For Rent in,"₹40,000","Madhapur, Hyderabad",3.0,2.0,,1800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,1(Out of 4 Floors),Immediately,Unfurnished,Less than 5 years,"₹40,000",,"arobindo appartment, Madhapur, Hyderabad - North, Andhra Pradesh",Unfurnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Service-Apartment-FOR-Rent-Madhapur-in-Hyderabad&id=4d423432323233393835,1.0,,,1.0,,,East,,1 Covered,near Golconda chefs,"Ceramic Tiles, Marble",Main Road,,24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,Developer,,,,,,,,,,,
"2 BHK Flat 1040 Sq-ft For Rent in PVR Enclave,","₹25,000","Bachupally, Hyderabad",2.0,2.0,,950sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,4(Out of 4 Floors),Immediately,Furnished,10 to 15 years,"₹25,000","₹54, 000","Bachupally, Bachupally, Hyderabad - North, Andhra Pradesh",Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-1040-Sq-ft-Multistorey-Apartment-FOR-Rent-Bachupally-in-Hyderabad&id=4d423832383334343533,1.0,PVR Enclave,₹ 96.2 Lac - ₹ 1.10 Cr,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Flat 1200 Sq-ft For Rent in,"₹28,000","Arunodaya Colony Vittal Rao Nagar, Hyderabad",2.0,2.0,,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,3(Out of 5 Floors),Immediately,Semi-Furnished,5 to 10 years,"₹28,000|₹2,000Monthly Maintenance","₹52, 000","301., Arunodaya Colony Vittal Rao Nagar, Hyderabad - North, Andhra Pradesh",Semi-Furnished,5 to 10 years,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Arunodaya-Colony-Vittal-Rao-Nagar-in-Hyderabad&id=4d423832363137323739,1.0,,,1.0,,,West,,1 Covered,2BHK semi furnished flat for rent in good location with good ventilati,Marble,,,24 Hours Available,No/Rare Powercut,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹8,500","Boduppal, Hyderabad",,,,100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹85/sqft,,Immediately,Semi-Furnished,New Construction,"₹8,500|₹300Monthly Maintenance","₹8, 500","Plot number 62, Road Number 7, Telephone Colony, Boduppal, Hyderabad 500092, Boduppal, Hyderabad - East, Andhra Pradesh",Semi-Furnished,New Construction,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Residential-House-FOR-Rent-Boduppal-in-Hyderabad&id=4d423832383334343233,1.0,,,,,,East,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
3 BHK  1200 Sq-ft For Rent in,₹45.0 Lac,"Malkajgiri, Hyderabad",3.0,3.0,,,3(Out of 4 Floors),Immediately,Unfurnished,,₹45 Lac,,"Malkajgiri, Hyderabad - Secunderabad City, Andhra Pradesh",Unfurnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Penthouse-FOR-Rent-Malkajgiri-in-Hyderabad&id=4d423635303439343735,,,,,"1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹3,750/sqft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK 1554 Sq-ft Flat/Apartment  For Rent in Indis PBEL City,","₹48,000","Appa junction, Hyderabad",3.0,3.0,,1350sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹36/sqft,13(Out of 19 Floors),,Furnished,,"₹48,000|₹4,800Monthly Maintenance",₹1.5 Lac,"Appa Junction Area, Hyderabad, Appa junction, Hyderabad - West, Andhra Pradesh",Furnished,,https://www.magicbricks.com/propertyDetails/3-BHK-1554-Sq-ft-Multistorey-Apartment-FOR-Rent-Appa-junction-in-Hyderabad&id=4d423833373130333235,1.0,Indis PBEL City,₹ 98.0 Lac - ₹ 1.58 Cr,1.0,,Indis,East,4.0,1 Covered,near Outer Ring Road Exit No  18,Vitrified,Garden/Park,None of these,24 Hours Available,No/Rare Powercut,4.0,"Fire Fighting Equipment,Multipurpose Courts,Kids Play Area,Indoor Squash & Badminton Courts,Flower Gardens,Bank & ATM,Piped Gas,Banquet Hall,Maintenance Staff,Intercom Facility,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 7,153 - ₹ 8,858","2, 3 BHK Flats","14 Towers , 311 Units",4.0,,,,,,,,,,,,,,,,,
"3 BHK 3430 Sq-ft Flat/Apartment  For Rent in My Home Bhooja,",₹2.3 Lac,"Hitech City, Hyderabad",3.0,4.0,2.0,3430sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹67/sqft,30(Out of 35 Floors),Immediately,Semi-Furnished,,"₹2.3 Lac|₹12,000Monthly Maintenance",₹4.6 Lac,"Hitech City, Hyderabad, Hitech City, Hyderabad - North, Andhra Pradesh",Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-3430-Sq-ft-Multistorey-Apartment-FOR-Rent-Hitech-City-in-Hyderabad&id=4d423833363233383731,,My Home Bhooja,₹ 5.66 Cr - ₹ 14.17 Cr,3.0,,My Home Group,West,4.0,3 Covered,"My Home Bhooja, Near BioDiversity Park","Ceramic Tiles, Granite, Marble, Wooden","Garden/Park, Main Road",Puja Room,24 Hours Available,No/Rare Powercut,4.0,"Kids Play Area,Jogging and Strolling Track,Piped Gas,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up",,"3, 4 BHK Flat","7 Towers , 1544 Units",1.0,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 850 Sq-ft For Rent in,"₹32,000","Hafeezpet, Hyderabad",2.0,2.0,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹40/sqft,5(Out of 5 Floors),Immediately,Furnished,New Construction,"₹32,000|₹2,000Monthly Maintenance",,"Hafeezpet hyderabad Telangana, Hafeezpet, Hyderabad - North, Andhra Pradesh",Furnished,New Construction,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Hafeezpet-in-Hyderabad&id=4d423833303735313233,1.0,,,,,,East,,,St Rita High School.,"Vitrified, Ceramic Tiles",,,24 Hours Available,No/Rare Powercut,1.0,,,,,1.0,,,,,,Developer,,,,,,,,,,,
"3 BHK 2405 Sq-ft Flat/Apartment  For Rent in Aparna WestSide,","₹79,999","Manikonda, Hyderabad",3.0,3.0,2.0,,10(Out of 14 Floors),Immediately,Semi-Furnished,Less than 5 years,"₹79,999|₹12,000Monthly Maintenance",₹1.6 Lac,"Khajaguda, Manikonda, Hyderabad - West, Andhra Pradesh",Semi-Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/3-BHK-2405-Sq-ft-Multistorey-Apartment-FOR-Rent-Manikonda-in-Hyderabad&id=4d423833303334323237,,Aparna WestSide,₹ 2.47 Cr - ₹ 3.46 Cr,,2405sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,Aparna Constructions and Estates Pvt. Ltd.,East,,,,,Main Road,Puja Room,,,,"Provision for power backup,Aesthetically designed landscape garden,Community entrance gate,Sewage treatment plant,Fire Fighting Equipment,Recreational Pool,Outdoor Tennis Courts,Multipurpose Courts,Indoor Games Room,Event Space & Amphitheatre,Library,Kids play area,Multipurpose Hall,Grand Entrance lobby,Mini Cinema Theatre,Piped Gas,Cafeteria/Food Court,Banquet Hall,Internet/Wi-Fi Connectivity,Intercom Facility,Air Conditioned,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,3 BHK Flat,"1 Tower , 128 Units",,,,,Freehold,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹50,000","MLA Colony, Hyderabad",2.0,2.0,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,,Immediately,Semi-Furnished,10 to 15 years,"₹50,000",₹1.0 Lac,"First Floor, plot no. 240-A1, M.L.A colony, Road no.12, Banjara Hills, near Central Bank, MLA Colony, Hyderabad - North, Andhra Pradesh",Semi-Furnished,10 to 15 years,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-MLA-Colony-in-Hyderabad&id=4d423831303534343033,1.0,,,,,,West,,1 Open,,Vitrified,Main Road,Servant Room,24 Hours Available,No/Rare Powercut,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK 1295 Sq-ft Flat/Apartment  For Rent in Theme Golf View,","₹45,000","Nanakram Guda, Hyderabad",2.0,2.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,8(Out of 14 Floors),Immediately,Furnished,,"₹45,000|₹5,000Monthly Maintenance","₹90, 000","Gachibowli, Hyderabad, Nanakram Guda, Hyderabad - West, Andhra Pradesh",Furnished,Less than 5 years,https://www.magicbricks.com/propertyDetails/2-BHK-1295-Sq-ft-Multistorey-Apartment-FOR-Rent-Nanakram-Guda-in-Hyderabad&id=4d423833303735303031,1.0,Theme Golf View,₹ 1.29 Cr - ₹ 2.05 Cr,1.0,,Theme Ambience Constructions Pvt. Ltd.,East,3.0,1 Covered,very near to IT HUB like Financial Dist and Madhapur HI tech City,"Vitrified, Wooden","Garden/Park, Main Road",None of these,24 Hours Available,No/Rare Powercut,3.0,"Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Banquet Hall,Internet/Wi-Fi Connectivity,Intercom Facility,Water Storage,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"5 Towers , 378 Units",14.0,,,,,,,,,,,,,,,,,
