Title,Rental_Price,Location,Beds,Baths,Balconies,Carpet Area,Project,Floor,Status,Additional Rooms,Facing,Furnished Status,Age Of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Overlooking,Age of Construction,Price,link,Super Built-up Area,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Bed,Bath,Covered Parking,Car parking,Flooring,Water Availability,Status of Electricity,Lifts,Lift,Balcony,Floors allowed for construction,Tower,Unit,Type of Ownership,RERA ID,Authority Approval,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features
"2 BHK 918 Sq-ft Flat/Apartment  For Rent in Amanora Gold Towers,","₹36,000","Amanora Park Town, Pune",2.0,2.0,2.0,718sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,Amanora Gold Towers,7(Out of 33 Floors),Immediately,"Puja Room, Store, Study, Servant Room",East,Semi-Furnished,,"₹36,000","₹90, 000","amanorapark, Amanora Park Town, Pune - East, Maharashtra",,Semi-Furnished,"Pool, Garden/Park, Main Road",Less than 5 years,₹ 61.7 Lac - ₹ 93.6 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-918-Sq-ft-Multistorey-Apartment-FOR-Rent-Amanora-Park-Town-in-Pune&id=4d423832393034363831,,Amanora Park Town,"Fire Fighting Equipment,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,AEROBICS ROOM,Multipurpose Hall,3 Tier Security System,Large Clubhouse,Outdoor Tennis Courts,Jogging and Strolling Track,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Intercom Facility,Visitor Parking,Vaastu Compliant,Reserved Parking,Park,Gymnasium,Swimming Pool,Rain Water Harvesting,Power Back Up",,"1, 2 BHK Flat","2 Towers , 1586 Units",,,,,"Marble, Ceramic Tiles, Vitrified, Mosaic",,,,,,,,,Freehold,,,,,,,,
"2 BHK 1100 Sq-ft Flat/Apartment  For Rent in Kunal Icon,","₹28,000","Pimple Saudagar Gaon, Pune",2.0,2.0,2.0,760sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,Kunal Icon,6(Out of 6 Floors),Immediately,"Puja Room, Store",East,Semi-Furnished,,"₹28,000|₹1,950Monthly Maintenance","₹70, 000","Pimple Saudagar, Pune, Pimple Saudagar Gaon, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra","Walking distance to Govind Garden, PK International School, and Pimple",Semi-Furnished,"Garden/Park, Main Road",5 to 10 years,₹ 40.0 Lac - ₹ 1.0 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Pimple-Saudagar-Gaon-in-Pune&id=4d423833373933333033,,Kunal Group,"Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Squash & Badminton Courts,Jogging and Strolling Track,Internet/Wi-Fi Connectivity,Vaastu Compliant,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 6,780 - ₹ 9,091","1, 2 BHK Flats","31 Towers , 900 Units",,,1.0,,Ceramic Tiles,24 Hours Available,No/Rare Powercut,2.0,2.0,,6.0,,,,,,,,,,,
"2 BHK 965 Sq-ft Flat/Apartment  For Rent in Pegasus Megapolis,","₹30,000","Hinjewadi Phase 3, Pune",2.0,2.0,,760sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,Pegasus Megapolis,9(Out of 14 Floors),Immediately,,East,Furnished,5 to 10 years,"₹30,000",,"megapolis sparklet, Hinjewadi Phase 3, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",Pawar public school,Furnished,Garden/Park,5 to 10 years,₹ 62.2 Lac - ₹ 62.4 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-965-Sq-ft-Multistorey-Apartment-FOR-Rent-Hinjewadi-Phase-3-in-Pune&id=4d423833373130363337,,Pegasus Properties Pvt. Ltd.,"Fire Fighting Equipment,Meditation Area,Multipurpose Hall,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up","₹ 4,762 - ₹ 9,615",2 BHK Flats,"50 Towers , 3687 Units",,,,,,,,,,1.0,,,,,,,,,,,,
"2 BHK 1050 Sq-ft Flat/Apartment  For Rent in Gulmohar City,","₹40,000","Rakshak Nagar, Pune",2.0,2.0,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹50/sqft,Gulmohar City,3(Out of 7 Floors),Immediately,"Puja Room, Study, Store, Servant Room",East,Furnished,,"₹40,000",₹1.0 Lac,"Kharadi, Pune, Rakshak Nagar, Pune - East, Maharashtra",Kharadi,Furnished,"Garden/Park, Pool, Main Road",5 to 10 years,₹ 85.0 Lac Onwards,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-Rakshak-Nagar-in-Pune&id=4d423833373933333231,,Gulmohar Development Builders,"Fire Fighting Equipment,Cycling & Jogging Track,Rentable Community Space,Recreational Pool,Multipurpose Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,AEROBICS ROOM,Jogging and Strolling Track,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"5 Towers , 500 Units",,,1.0,,"Ceramic Tiles, Granite, Marble, Marbonite, Mosaic, Normal Tiles/Kotah Stone, Vitrified, Wooden",24 Hours Available,No/Rare Powercut,,1.0,1.0,7.0,,,,,,,,,,,
"3 BHK 1800 Sq-ft Flat/Apartment  For Rent in Venkatesh Flora Phase II,","₹45,000","Mundhwa, Pune",3.0,3.0,2.0,1650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Venkatesh Flora Phase II,2(Out of 5 Floors),Immediately,Servant Room,,Furnished,10 to 15 years,"₹45,000",,"Mundhwa, Pune - East, Maharashtra",,Furnished,"Pool, Garden/Park, Main Road",10 to 15 years,₹ 1.52 Cr - ₹ 1.98 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Rent-Mundhwa-in-Pune&id=4d423831363233373035,,Sunrise Buildcon Property Developers,"Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Kids Play Area,Kids Club,Indoor Games Room,Guest Accommodation,Flower Gardens,Jogging and Strolling Track,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,,"2 Towers , 82 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK 1080 Sq-ft Flat/Apartment  For Rent in Vatika Homes,","₹32,000","Balewadi, Pune",2.0,2.0,2.0,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,Vatika Homes,8(Out of 12 Floors),Immediately,Puja Room,East,Unfurnished,,"₹32,000|₹3,500Monthly Maintenance","₹80, 000","Balewadi High Street Near by, Balewadi, Pune - West, Maharashtra",Balewadi High Street Near by Balewadi,Unfurnished,"Pool, Garden/Park, Main Road",Less than 5 years,₹ 85.0 Lac Onwards,https://www.magicbricks.com/propertyDetails/2-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Rent-Balewadi-in-Pune&id=4d423833303735353535,,Bhujbal Brothers Construction Company,"Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Retail Boulevard (Retail Shops),Recreational Pool,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Play Area,Kids Club,Indoor Games Room,Flower Gardens,Early Learning Centre,Concierge Services,Jogging and Strolling Track,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",,"2, 3 BHK Flat","3 Towers , 134 Units",,,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,,,,,,,,,,,,,
"2 BHK 1129 Sq-ft Flat/Apartment  For Rent in Gulmohar Renaissance,","₹25,000","Wagholi, Pune",2.0,2.0,2.0,856sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,Gulmohar Renaissance,4(Out of 12 Floors),Immediately,None of these,East,Semi-Furnished,,"₹25,000","₹50, 000","Wagholi, Pune, Wagholi, Pune - East, Maharashtra","Near raisoni college, school, market, daily needs in wwalking distance",Semi-Furnished,"Garden/Park, Main Road",Less than 5 years,₹ 53.1 Lac - ₹ 75.4 Lac,https://www.magicbricks.com/propertyDetails/2-BHK-1129-Sq-ft-Multistorey-Apartment-FOR-Rent-Wagholi-in-Pune&id=4d423831303532313031,,Gulmohar Developers,"Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Recreational Pool,Multipurpose Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Early Learning Centre,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"5 Towers , 150 Units",,,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,,1.0,,,,,,,,,,,
"2 BHK 960 Sq-ft Flat/Apartment  For Rent in Ganga New Town,","₹22,000","Dhanori, Pune",2.0,2.0,2.0,780sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,Ganga New Town,10(Out of 11 Floors),Immediately,None of these,East,Unfurnished,,"₹22,000","₹50, 000","dhanori ganga new town society, Dhanori, Pune - North, Maharashtra",ganga new town society near nyati Era,Unfurnished,"Pool, Garden/Park, Main Road",5 to 10 years,₹ 74.4 Lac - ₹ 1.48 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-960-Sq-ft-Multistorey-Apartment-FOR-Rent-Dhanori-in-Pune&id=4d423832393038323633,,Goel Ganga Developments,"Sand pit,Aesthetically designed landscape garden,Community entrance gate,Water treatment plant,Sewage treatment plant,Fire Fighting Equipment,Kids Play Area,Multipurpose Hall,Waste Disposal,Security,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up","₹ 5,846 - ₹ 11,936","2, 3 BHK Flats","12 Towers , 1066 Units",,,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,,,,,,,,,,,,,
2 BHK Flat 1125 Sq-ft For Rent in,"₹35,000","Kumar Samrudhi Society, Pune",2.0,2.0,2.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,,2(Out of 5 Floors),Immediately,None of these,East,Furnished,10 to 15 years,"₹35,000|₹3,000Monthly Maintenance","₹75, 000","Tingrenagar, Kumar Samrudhi Society, Pune - North, Maharashtra",PUNE AIRPORT 2.5 kilometers,Furnished,"Garden/Park, Main Road",10 to 15 years,,https://www.magicbricks.com/propertyDetails/2-BHK-1125-Sq-ft-Multistorey-Apartment-FOR-Rent-Kumar-Samrudhi-society-in-Pune&id=4d423635303533383439,,,,,,,,,1.0,1 Covered,"Vitrified, Ceramic Tiles",24 Hours Available,No/Rare Powercut,,1.0,,,,,Freehold,,,,,,,,
"2 BHK 1100 Sq-ft Flat/Apartment  For Rent in Nyati Elysia,","₹38,000","Kharadi, Pune",2.0,2.0,2.0,815sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹47/sqft,Nyati Elysia,14(Out of 28 Floors),Immediately,None of these,North,Unfurnished,,"₹38,000","₹80, 000","kharadi Pune, Kharadi, Pune - East, Maharashtra",Near by Eon It Park kharadi Pune,Unfurnished,"Pool, Garden/Park, Main Road",Less than 5 years,₹ 1.16 Cr - ₹ 1.84 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Kharadi-in-Pune&id=4d423833333337393231,,Nyati Group,"Kids Play Area,Waste Disposal,Intercom Facility,Security,Gymnasium,Swimming Pool,Club House","₹ 8,182 - ₹ 17,089","2, 3 BHK Flats","10 Towers , 1178 Units",,,2.0,2 Covered,Marble,24 Hours Available,No/Rare Powercut,3.0,3.0,,,,,,,,,,,,,
"1 BHK 550 Sq-ft Flat/Apartment  For Rent in TCG The Cliff Garden,","₹20,000","Hinjewadi Phase 3, Pune",,,,449sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,TCG The Cliff Garden,5(Out of 14 Floors),Immediately,Puja Room,East,Unfurnished,,"₹20,000","₹50, 000","Hinjawadi, Pune, Hinjewadi Phase 3, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra","TCG the cliff gardan, metro depot, megapolis township, tech mahindr",Unfurnished,Main Road,Less than 5 years,₹ 52.9 Lac - ₹ 85.3 Lac,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-Hinjewadi-Phase-3-in-Pune&id=4d423832393038323333,,TCG Real Estate,"Kids Splash Pool,Sand pit,Cricket net practice,Multipurpose Courts,Meditation Area,Event Space & Amphitheatre,Cycling track,Kids play area,Pet park,Grand Entrance lobby,Jogging and Strolling Track,Internet/Wi-Fi Connectivity,Private Terrace/Garden,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift","₹ 5,111 - ₹ 13,141","1, 2 BHK Flats","6 Towers , 1232 Units",1.0,1.0,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,1.0,1.0,,,,,,,,,,,
"3 BHK 1850 Sq-ft Flat/Apartment  For Rent in Bramhacorp F Residences Phase 2,","₹52,000","New Kalyani Nagar, Pune",3.0,3.0,3.0,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,Bramhacorp F Residences Phase 2,18(Out of 22 Floors),Immediately,"Puja Room, Study, Servant Room, Store",East,Semi-Furnished,New Construction,"₹52,000",,"kalyani nagar, New Kalyani Nagar, Pune - East, Maharashtra",Bishop school,Semi-Furnished,"Pool, Main Road, Garden/Park",New Construction,₹ 75.4 Lac - ₹ 1.29 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1850-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Kalyani-Nagar-in-Pune&id=4d423730303039393133,,Bramhacorp Ltd.,"Aesthetically designed landscape garden,Fire Fighting Equipment,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Kids play area,CCTV Camera,Guest lobby in each floor,Located in the Heart of city,Earth quake resistant,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,"2, 3 BHK Flat","4 Towers , 476 Units",,,,,"Vitrified, Ceramic Tiles",,,,,,,,,,,,,,,,,
"2 BHK 1012 Sq-ft Flat/Apartment  For Rent in Sukhwani Gracia,","₹32,000","Sus, Pune",2.0,2.0,,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹43/sqft,Sukhwani Gracia,5(Out of 9 Floors),Immediately,,,Furnished,5 to 10 years,"₹32,000","₹64, 000","sus, Sus, Pune - West, Maharashtra",,Furnished,Main Road,5 to 10 years,₹ 64.8 Lac - ₹ 1.53 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-1012-Sq-ft-Multistorey-Apartment-FOR-Rent-Sus-in-Pune&id=4d423832333639353235,,Sukhwani Associates,"Fire Fighting Equipment,Kids Play Area,Indoor Games Room,Flower Gardens,CCTV Camera,Multipurpose Hall,Jogging and Strolling Track,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flat,"4 Towers , 146 Units",,,1.0,1 Covered,Vitrified,,,2.0,2.0,1.0,,,,,,,,,,,,
3 BHK 1024 Sq-ft Flat/Apartment  For Rent in,"₹40,000","Punawale, Pune",3.0,3.0,2.0,,,10(Out of 20 Floors),Immediately,,North - East,Furnished,New Construction,"₹40,000","₹80, 000","Kate Wasti, Punawale, Pune, Pimpri-Chinchwad, Maharashtra 411033, in front of Basil maximus, Punawale, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",Basil Maximus Society,Furnished,"Garden/Park, Pool, Main Road",New Construction,,https://www.magicbricks.com/propertyDetails/3-BHK-1024-Sq-ft-Multistorey-Apartment-FOR-Rent-Punawale-in-Pune&id=4d423833323036313137,1024sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 720 Sq-ft Flat/Apartment  For Rent in,"₹23,000","Ravet, Pune",2.0,2.0,,,,13(Out of 14 Floors),Immediately,,East,Semi-Furnished,,"₹23,000",,"Ravet, Pune - Pimpri Chinchwad Municipal Corporation, Maharashtra",,Semi-Furnished,"Pool, Garden/Park, Main Road",,,https://www.magicbricks.com/propertyDetails/2-BHK-720-Sq-ft-Multistorey-Apartment-FOR-Rent-Ravet-in-Pune&id=4d423833363232363835,720sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,,,,,,,,,1 Open,Vitrified,24 Hours Available,No/Rare Powercut,,,,,,,,,,,,,,,
"1 BHK Flat 788 Sq-ft For Rent in Suryalok Nagari Society,","₹18,000","Hadapsar, Pune",,,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,Suryalok Nagari Society,4(Out of 5 Floors),Immediately,,,Semi-Furnished,10 to 15 years,"₹18,000","₹30, 000","Silver chamber, Hadapsar, Pune - East, Maharashtra",,Semi-Furnished,,10 to 15 years,₹ 71.4 Lac - ₹ 1.0 Cr,https://www.magicbricks.com/propertyDetails/1-BHK-788-Sq-ft-Multistorey-Apartment-FOR-Rent-Hadapsar-in-Pune&id=4d423831363134393839,,Suryalok Developers,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Kids Play Area,Waste Disposal,Maintenance Staff,Visitor Parking,Water Storage,Security,Reserved Parking,Park,Rain Water Harvesting,Lift",,,"4 Towers , 60 Units",1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
"3 BHK 1277 Sq-ft Flat/Apartment  For Rent in Godrej Hillside,","₹30,000","Mahalunge, Pune",3.0,3.0,2.0,877sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,Godrej Hillside,4(Out of 22 Floors),Immediately,None of these,North - East,Unfurnished,,"₹30,000|₹1,200Monthly Maintenance","₹60, 000","Mahalunge, Pune, Maharashtra, Mahalunge, Pune - West, Maharashtra","Premium 3 BHK apartmentLocated in Godrej Hillside 2, MahalungeExcellent connectivity to Hinjewadi IT Park and BanerModern amenities and clubhouseSecure gated community with 247 securityClose to schools, hospitals, and daily convenience storesIdeal for both end-use and investment",Unfurnished,Main Road,New Construction,₹ 74.0 Lac Onwards,https://www.magicbricks.com/propertyDetails/3-BHK-1277-Sq-ft-Multistorey-Apartment-FOR-Rent-Mahalunge-in-Pune&id=4d423833373039313833,,Godrej Properties,"Half basketball court,Cycling & Jogging Track,Meditation Area,Kids Play Pool With Water Slides,Indoor Games Room,Event Space & Amphitheatre,Barbeque Pit,Kids play area,Multipurpose Hall,Grand Entrance lobby,3 Tier Security System,Large Clubhouse,Located in the Heart of city,Earth quake resistant,Outdoor Tennis Courts,Jogging and Strolling Track,Banquet Hall,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 6,417 - ₹ 12,959",2 BHK Flats,"2 Towers , 360 Units",,,1.0,1 Covered,Vitrified,24 Hours Available,No/Rare Powercut,2.0,2.0,,1.0,,,,,,,,,,,
"2 BHK Flat 925 Sq-ft For Rent in Kolte Patil Margosa Heights,","₹24,500","NIBM Annexe, Pune",2.0,2.0,,725sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹34/sqft,Kolte Patil Margosa Heights,4(Out of 12 Floors),Immediately,,North,Semi-Furnished,5 to 10 years,"₹24,500|₹14,500Quarterly Maintenance","₹70, 000","Nibm Pune, NIBM Annexe, Pune - South, Maharashtra",The Dutch Uncle Pizzeria,Semi-Furnished,"Garden/Park, Main Road",5 to 10 years,₹ 43.6 Lac - ₹ 1.17 Cr,https://www.magicbricks.com/propertyDetails/2-BHK-925-Sq-ft-Multistorey-Apartment-FOR-Rent-NIBM-Annexe-in-Pune&id=4d423832393034333335,,Kolte Patil Developers Ltd.,"Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Retail Boulevard (Retail Shops),Recreational Pool,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Library And Business Centre,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Event Space & Amphitheatre,Early Learning Centre,Dance Studio,Arts & Craft Studio,AEROBICS ROOM,Kids play area,CCTV Camera,Multipurpose Hall,Earth quake resistant,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Cafeteria/Food Court,Banquet Hall,DTH Television Facility,Laundry Service,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"20 Towers , 970 Units",,,,,Ceramic Tiles,,,,,1.0,,,,,,Development Authority,,,,,,
"2 BHK 920 Sq-ft Flat/Apartment  For Rent in Kolte Patil 24k Sereno,","₹35,000","Baner, Pune",2.0,2.0,2.0,1242sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,Kolte Patil 24k Sereno,4(Out of 16 Floors),Immediately,,,Unfurnished,New Construction,"₹35,000",,"Pan Card Club road, Baner, Pune - West, Maharashtra",,Unfurnished,,New Construction,₹ 3.21 Cr Onwards,https://www.magicbricks.com/propertyDetails/2-BHK-920-Sq-ft-Multistorey-Apartment-FOR-Rent-Baner-in-Pune&id=4d423833303732393335,,Kolte Patil Developers Ltd.,"Provision for power backup,Aesthetically designed landscape garden,Sewage treatment plant,Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Retail Boulevard (Retail Shops),Rentable Community Space,Recreational Pool,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Event Space & Amphitheatre,Barbeque Pit,CCTV Camera,Fingerprint Access,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Service/Goods Lift,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 10,952 - ₹ 21,000",3 BHK Flats,"4 Towers , 351 Units",,,,,Vitrified,,,,,,,,,,,,,,,,,
"3 BHK 1780 Sq-ft Flat/Apartment  For Rent in Magarpatta Riverview City Falcon Towers,","₹28,000","Loni, Pune",3.0,3.0,2.0,1250sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,Magarpatta Riverview City Falcon Towers,12(Out of 20 Floors),Immediately,None of these,East,Unfurnished,,"₹28,000|₹1Monthly Maintenance","₹80, 000","Loni Kalbhor, Pune, Loni, Pune - Northern Outskirts, Maharashtra",Loni Kalbhor.,Unfurnished,"Pool, Garden/Park",New Construction,₹ 90.4 Lac - ₹ 1.11 Cr,https://www.magicbricks.com/propertyDetails/3-BHK-1780-Sq-ft-Multistorey-Apartment-FOR-Rent-Loni-in-Pune&id=4d423830323730313637,,Magarpatta City Group,"Community Hall,Lawn with pathway,Aesthetically designed landscape garden,Cricket net practice,Half basketball court,Volleyball court,Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Indoor Games Room,Kids play area,Barbeque space,Fire Sprinklers,CCTV Camera,Mini Cinema Theatre,Piped Gas,Cafeteria/Food Court,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 7,333 - ₹ 1.0 Lac","2, 3 BHK Flats","7 Towers , 1169 Units",,,1.0,"1 Covered, 1 Open","Vitrified, Granite",24 Hours Available,No/Rare Powercut,3.0,3.0,,1.0,,,,,,,,,,,
