Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Status,Furnished Status,Rental Value,Security Deposit,Address,Landmarks,Furnishing,link,Bath,Super Built-up Area,Floor,Age Of Construction,Age of Construction,Balconies,Project,Facing,Overlooking,Additional Rooms,Price,Developer,Amenities,Price per sqft,Configuration,Tower & Unit,Covered Parking,Lifts,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Bed,Flooring,Authority Approval,Unit,Type of Ownership,RERA ID,Tower,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floor allowed,Floors allowed
"1 BHK Flat 500 Sq-ft For Rent in Shovona Apartment Baguihati,","₹7,500","Baguiati, Kolkata",,,1.0,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,Immediately,Unfurnished,"₹7,500|₹200Monthly Maintenance","₹20, 000","Baguiati, Baguiati, Kolkata - North, West Bengal",Jyangra mahamaya club.,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Baguiati-in-Kolkata&id=4d423833303438393837,1.0,,1(Out of 5 Floors),Less than 5 years,Less than 5 years,,Shovona Apartment Baguihati,North,,,₹ 27.0 Lac - ₹ 35.8 Lac,Swabhumi Construction,Power Back Up,,,,,,,,,,,1.0,,,,,,,,,,,,,,
"2 BHK 1500 Sq-ft Flat/Apartment  For Rent in Apsara,","₹59,000","Park Street Area, Kolkata",2.0,2.0,1.0,1300sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,Immediately,Furnished,"₹59,000",₹1.0 Lac,"67, Park Street, Kolkata-700016, Park Street Area, Kolkata - Central, West Bengal","2bhk furnished flat available on rent in park street, full furnished 60k",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Park-Street-area-in-Kolkata&id=4d423734383736343233,,,6(Out of 10 Floors),,15 to 20 years,,Apsara,East,Main Road,Puja Room,₹ 2.38 Cr - ₹ 3.07 Cr,Apsara Group,"Kids Club,Maintenance Staff,Visitor Parking,Reserved Parking,Lift",,,"1 Tower , 85 Units",1.0,2.0,1 Covered,,,,2.0,,Marble,,,,,,,,,,,,,
"3 BHK Flat 1010 Sq-ft For Rent in Accon Group Priti Villa,","₹11,000","Uttarpara, Kolkata",3.0,2.0,1.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Immediately,Unfurnished,"₹11,000|₹600Monthly Maintenance",,"Uttarpara, Uttarpara, Kolkata - Hooghly District, West Bengal",Near GT road,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1010-Sq-ft-Multistorey-Apartment-FOR-Rent-Uttarpara-in-Kolkata&id=4d423634353536393031,,,1(Out of 5 Floors),Less than 5 years,Less than 5 years,,Accon Group Priti Villa,South - East,Main Road,,₹ 33.8 Lac - ₹ 40.1 Lac,,,,,"1 Tower , 19 Units",,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 950 Sq-ft For Rent in,"₹10,000","Baghajatin, Kolkata",2.0,,1.0,,Immediately,Furnished,"₹10,000","₹15, 000","Baghajatin, Kolkata - South, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Baghajatin-in-Kolkata&id=4d423432323533343031,1.0,950sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,2(Out of 2 Floors),10 to 15 years,10 to 15 years,,,North - East,Main Road,,,,,,,,,,1 Open,24 Hours Available,No/Rare Powercut,,,,Marble,,,,,,,,,,,,,
"2 BHK Flat 693 Sq-ft For Rent in Annapurna Apartment,","₹11,500","Baguiati, Kolkata",2.0,2.0,1.0,632sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Unfurnished,"₹11,500|₹500Monthly Maintenance","₹23, 000","Kolkata, Baguiati, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-693-Sq-ft-Multistorey-Apartment-FOR-Rent-Baguiati-in-Kolkata&id=4d423833353136313637,,,5(Out of 5 Floors),Less than 5 years,Less than 5 years,,Annapurna Apartment,,,,₹ 27.0 Lac - ₹ 35.8 Lac,Tapan Construction Pvt. Ltd.,"Meditation Area,Library And Business Centre,Indoor Squash & Badminton Courts,Indoor Games Room,DTH Television Facility,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking",,,"2 Towers , 42 Units",,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 900 Sq-ft For Rent in Sandip 88 Garfa Road,","₹15,000","Garfa, Kolkata",2.0,2.0,1.0,815sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Unfurnished,"₹15,000|₹600Monthly Maintenance","₹68, 000","Garfa, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Garfa-in-Kolkata&id=4d423732363534383637,,,Ground(Out of 4 Floors),5 to 10 years,5 to 10 years,,Sandip 88 Garfa Road,,,,₹ 40.0 Lac - ₹ 95.0 Lac,,"Kids play area,CCTV Camera,Security,Lift,Power Back Up",,,"1 Tower , 8 Units",,,,,,,,,Marble,,,,,,,,,,,,,
2 BHK Builder Floor 800 Sq-ft For Rent in,"₹15,000","Tollygunge, Kolkata",2.0,2.0,,,Immediately,Unfurnished,"₹15,000",,"Tollygunge, Kolkata - South, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Tollygunge-in-Kolkata&id=4d423833353136303837,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,4(Out of 5 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK 1200 Sq-ft Flat/Apartment  For Rent in Emami City,","₹35,000","Jessore Road, Kolkata",2.0,2.0,1.0,,Immediately,Semi-Furnished,"₹35,000|₹1Per sq. Unit Monthly Maintenance",₹1.0 Lac,"Jessore Road, Kolkata, Jessore Road, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Jessore-Road-in-Kolkata&id=4d423833313833323639,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,1(Out of 13 Floors),,10 to 15 years,,Emami City,South,Main Road,None of these,₹ 92.3 Lac - ₹ 2.02 Cr,Emami Realty,"Badminton court,Aesthetically designed landscape garden,Half basketball court,Volleyball court,Water treatment plant,Sewage treatment plant,Fire Fighting Equipment,Activity Deck4,Recreational Pool,Meditation Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Library,CCTV Camera,Multipurpose Hall,Large Open space,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,2 BHK Flats,"23 Towers , 1233 Units",1.0,,1 Covered,24 Hours Available,No/Rare Powercut,1.0,1.0,,"Ceramic Tiles, Marble, Mosaic, Vitrified",,,,,,,,,,,,,
> 10 BHK Residential House  For Rent,₹1.3 Lac,"Bishnupur Rajarhat, Kolkata",10.0,6.0,,,Immediately,Semi-Furnished,₹1.3 Lac,₹3.0 Lac,"Bishnupur Rajarhat, Kolkata - East, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/10-plus-BHK-4200-Sq-ft-Residential-House-FOR-Rent-Bishnupur-Rajarhat-in-Kolkata&id=4d423738303935343939,,4200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹31/sqft,,New Construction,New Construction,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
"3 BHK Flat 1665 Sq-ft For Rent in Calcutta Green Com,","₹45,000","callcatta greens complex luxury, Kolkata",3.0,3.0,,,Immediately,Semi-Furnished,"₹45,000","₹90, 000","East Rajapur, Kolkata, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1665-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423833343231323337,,1665sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,3(Out of 12 Floors),10 to 15 years,10 to 15 years,2.0,Calcutta Green Com,East,"Garden/Park, Main Road","Puja Room, Servant Room",Call For Price,West Bengal Housing Board,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 BHK 2895 Sq-ft Flat/Apartment  For Rent in PS  ZEN,",₹1.0 Lac,"Topsia, Kolkata",4.0,4.0,1.0,,Immediately,Semi-Furnished,₹1 Lac,₹3.0 Lac,"topsia, Topsia, Kolkata - South, West Bengal",Topsia crossing,Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2895-Sq-ft-Multistorey-Apartment-FOR-Rent-Topsia-in-Kolkata&id=4d423833363034323935,,2895sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹35/sqft,19(Out of 20 Floors),,5 to 10 years,,PS  ZEN,East,"Pool, Garden/Park",Servant Room,₹ 3.02 Cr - ₹ 6.65 Cr,PS Vinayak Heights LLP,"Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,AEROBICS ROOM,Conference Room,Banquet Hall,Swimming Pool","₹ 11,076 - ₹ 13,310","3, 4 BHK Flats","2 Towers , 117 Units",,,,,,,,,,,,Freehold,,,,,,,,,,
3 BHK Flat 2400 Sq-ft For Rent in,"₹60,000","Alipore, Kolkata",3.0,3.0,1.0,,Immediately,Semi-Furnished,"₹60,000",₹1.2 Lac,"Burdwan Road, Alipore, Kolkata - Central, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2400-Sq-ft-Multistorey-Apartment-FOR-Rent-Alipore-in-Kolkata&id=4d423536373435333133,,2400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,2(Out of 5 Floors),5 to 10 years,5 to 10 years,,,North - West,Main Road,Puja Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 600 Sq-ft Flat/Apartment  For Rent in,"₹10,000","Bally, Kolkata",2.0,,,600sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹17/sqft,Immediately,Semi-Furnished,"₹10,000",,"Bally, Kolkata - Howrah District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Bally-in-Kolkata&id=4d423832383732323939,1.0,,1(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 863 Sq-ft For Rent in Magnolia Prestige,","₹8,500","Rajarhat, Kolkata",2.0,2.0,1.0,,Immediately,Unfurnished,"₹8,500|₹1,275Monthly Maintenance","₹8, 000","Vishnupur Rajarhat  Kolkata, Rajarhat, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-863-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423634353731333933,,863sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹10/sqft,1(Out of 4 Floors),Less than 5 years,Less than 5 years,,Magnolia Prestige,North - East,Garden/Park,,₹ 26.6 Lac - ₹ 40.5 Lac,Magnolia Infrastructure Development Ltd.,"Provision for power backup,Community Hall,Badminton court,Aesthetically designed landscape garden,Half basketball court,Fire Fighting Equipment,Recreational Pool,Multipurpose Courts,Meditation Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Kids play area,Fire Sprinklers,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Health club with Steam / Jaccuzi,Jogging and Strolling Track,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Intercom Facility,Air Conditioned,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 3,102 - ₹ 4,343","2, 3 BHK Flats","15 Towers , 338 Units",1.0,,1 Covered,,,,,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹4,000","Rishra, Kolkata",,,,,Immediately,Furnished,"₹4,000",,"Sanjeev kumar singh, pravashnagar, Rishra, Rishra, Kolkata - Hooghly District, West Bengal",Transportation available market and school near by friendly people.,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-225-Sq-ft-Residential-House-FOR-Rent-Rishra-in-Kolkata&id=4d423536383835353235,1.0,225sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,1(Out of 1 Floors),,,,,North - West,Main Road,Store,,,,,,,,,,24 Hours Available,No/Rare Powercut,,,1.0,,,,,,,,,,,,,,
3 BHK 800 Sq-ft Flat/Apartment  For Rent in,"₹25,000","Manikpur, Kolkata",3.0,2.0,1.0,1043sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹24/sqft,Immediately,Semi-Furnished,"₹25,000",,"ghosalpara, manikpur, Manikpur, Kolkata - Hooghly District, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423833353134383439,,,2(Out of 13 Floors),Less than 5 years,Less than 5 years,,,,"Main Road, Garden/Park, Pool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK 901 Sq-ft Flat/Apartment  For Rent in Shapoorji Paloonji Sukhobristi,","₹17,500","New Town, Kolkata",3.0,2.0,1.0,690sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,Immediately,Unfurnished,"₹17,500","₹35, 000","shapoorji paloonji housing complex, New Town, Kolkata - East, West Bengal",Sbi atm.,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-901-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423831353735333439,,,3(Out of 14 Floors),Less than 5 years,Less than 5 years,,Shapoorji Paloonji Sukhobristi,North,"Pool, Main Road",Puja Room,₹ 20.0 Lac - ₹ 39.0 Lac,,"Waste Disposal,Maintenance Staff,Security,Reserved Parking,Park,Lift,Power Back Up","₹ 4,167 - ₹ 5,778","1, 2 BHK Flats","13 Towers , 20000 Units",,,,,,,,,Vitrified,,,Freehold,,,,,,,,,,
For Rent in,Call for Price,"Baghajatin, Kolkata",,,,,Immediately,,,,"Baghajatin, Kolkata - South, West Bengal",,,https://www.magicbricks.com/propertyDetails/Residential-House-FOR-Rent-Baghajatin-in-Kolkata&id=4d423833363932313339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK 650 Sq-ft Flat/Apartment  For Rent in,"₹12,108","Raja Subodh Chandra Mallick Road, Kolkata",2.0,2.0,,,Immediately,Furnished,"₹12,108",,"Raja Subodh Chandra Mallick Road, Kolkata - South, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Raja-Subodh-Chandra-Mallick-Road-in-Kolkata&id=4d423833343231353233,,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,Ground(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 700 Sq-ft For Rent in Prantik Abasan,","₹8,000","Bablatala, Kolkata",,,1.0,,Immediately,Unfurnished,"₹8,000",,"NAGER BAZAR, Bablatala, Kolkata - North 24 Parganas District, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Bablatala-in-Kolkata&id=4d423833333134303237,1.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,3(Out of 3 Floors),,,,Prantik Abasan,South,,,₹ 43.3 Lac - ₹ 50.8 Lac,Maheswar Enterprise,"Security,Lift,Power Back Up",,"2, 3 BHK Flat","3 Towers , 52 Units",,,,,,,,1.0,,,,,,,,,,,,,,
8 BHK Residential House  For Rent,Call for Rent,"Rajarhat, Kolkata",8.0,5.0,,,Immediately,Unfurnished,,,"Rajarhat, Kolkata - North, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/8-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Rajarhat-in-Kolkata&id=4d423639373536303237,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham,Ground(Out of 4 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK 1243 Sq-ft Flat/Apartment  For Rent in PS ONE10,","₹52,000","Action Area 1, Kolkata",3.0,2.0,1.0,780sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹67/sqft,Immediately,Furnished,"₹52,000|₹5,000Monthly Maintenance",₹1.0 Lac,"One10. New Town, AA-I. St. No.276. DA Block. Behind Novotel. Kol-102., Action Area 1, Kolkata - East, West Bengal",NEAR BY CNCI HOSPITAL AXIS MALL,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1243-Sq-ft-Multistorey-Apartment-FOR-Rent-Action-Area-1-in-Kolkata&id=4d423833343231323933,,,19(Out of 20 Floors),,New Construction,,PS ONE10,North - East,"Garden/Park, Pool, Main Road",Study,₹ 4.65 Cr Onwards,PS Group,"Provision for power backup,Water treatment plant,Sewage treatment plant,Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Squash & Badminton Courts,Bank & ATM,CCTV Camera,Solar Energy,Outdoor Tennis Courts,Cafeteria/Food Court,Banquet Hall,Visitor Parking,Service/Goods Lift,Security,Gymnasium,Rain Water Harvesting,Lift,Power Back Up","₹ 10,459 - ₹ 21,898",5 BHK Flats,"11 Towers , 656 Units",1.0,4.0,,24 Hours Available,No/Rare Powercut,20.0,4.0,,Vitrified,,,,,,,,,,,,,
2 BHK Flat 1230 Sq-ft For Rent in,"₹35,000","Ripon Street, Kolkata",2.0,2.0,1.0,,Immediately,Unfurnished,"₹35,000",₹1.1 Lac,"43, Ripon Street, Kolkata - Central, West Bengal",The Apartment is very close to St Marys School.,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1230-Sq-ft-Multistorey-Apartment-FOR-Rent-Ripon-Street-in-Kolkata&id=4d423833303439343933,,1230sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,Upper Basement(Out of 5 Floors),5 to 10 years,5 to 10 years,,,South,Main Road,None of these,,,,,,,1.0,2.0,1 Covered,24 Hours Available,No/Rare Powercut,1.0,2.0,,Vitrified,,,,,,,,,,,,,
2 BHK Flat 550 Sq-ft For Rent in,"₹11,000","Chingrighata, Kolkata",2.0,,1.0,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹20/sqft,Immediately,Unfurnished,"₹11,000|₹300Monthly Maintenance",,"Chingrighata, Kolkata - Central, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-Chingrighata-in-Kolkata&id=4d423536373539333335,1.0,,3(Out of 4 Floors),Less than 5 years,Less than 5 years,,,East,Main Road,Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 BHK 4046 Sq-ft Flat/Apartment  For Rent in Ambuja Utalika The Condoville,",₹1.6 Lac,"Mukundapur, Kolkata",4.0,4.0,,3624sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹44/sqft,Immediately,Furnished,"₹1.6 Lac|₹15,000Monthly Maintenance",₹4.8 Lac,"Mukundapur, Kolkata, Mukundapur, Kolkata - South, West Bengal",Beside r. N tagore hospital,Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-4046-Sq-ft-Multistorey-Apartment-FOR-Rent-Mukundapur-in-Kolkata&id=4d423738303935323737,,,15(Out of 24 Floors),,,2.0,Ambuja Utalika The Condoville,South,"Garden/Park, Pool, Main Road",Servant Room,₹ 2.93 Cr - ₹ 18.05 Cr,Ambuja Neotia,"Cycling & Jogging Track,Multipurpose Courts,Indoor Games Room,Event Space & Amphitheatre,Banquet Hall,Private Terrace/Garden,Gymnasium,Swimming Pool","₹ 8,920 - ₹ 11,445",3 BHK Flats,"15 Towers , 554 Units",2.0,4.0,,24 Hours Available,No/Rare Powercut,20.0,4.0,,"Vitrified, Wooden",,,,,,,,,,,,,
2 BHK Flat 1000 Sq-ft For Rent in,"₹35,000","Bhawanipur, Kolkata",2.0,2.0,1.0,,Immediately,Furnished,"₹35,000","₹35, 000","Bhawanipur, Kolkata - Central, West Bengal","3Bhk full furnished Flat Available on Rent in Bhawanipur, prime location. well connected to other parts of city. metro, school, colleges all nearby.",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Bhawanipur-in-Kolkata&id=4d423634353038363637,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹35/sqft,3(Out of 4 Floors),New Construction,New Construction,,,East,Main Road,,,,,,,,1.0,,1 Covered,24 Hours Available,No/Rare Powercut,,1.0,,"Granite, Vitrified",,,,,,,,,,,,,
3 BHK Flat 1250 Sq-ft For Rent in,"₹15,000","Sinthee Bidhan Park, Kolkata",3.0,2.0,1.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Immediately,Unfurnished,"₹15,000|₹600Monthly Maintenance","₹40, 000","Kolkata, West Bengal",Calcutta public school,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Kolkata&id=4d423732363331373737,,,1(Out of 3 Floors),5 to 10 years,5 to 10 years,,,West,Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1413 Sq-ft For Rent in PS  Amistad,","₹45,000","New Town, Kolkata",3.0,3.0,1.0,,Immediately,Furnished,"₹45,000|₹3,000Monthly Maintenance",₹1.5 Lac,"New Town, Kolkata - East, West Bengal",,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1413-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423734393031323735,,1413sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,5(Out of 17 Floors),Less than 5 years,Less than 5 years,,PS  Amistad,,,,₹ 95.4 Lac - ₹ 2.28 Cr,PS Vinayak Heights LLP,"Fire Fighting Equipment,Rentable Community Space,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Mini Cinema Theatre,Outdoor Tennis Courts,Jogging and Strolling Track,Conference Room,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Air Conditioned,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",,"1, 2, 3, 4 BHK Flat","3 Towers , 242 Units",,,,,,,,,,,,,,,,,,,,,,
2 BHK Builder Floor 1000 Sq-ft For Rent in,"₹18,000","Howrah, Kolkata",2.0,2.0,,,Immediately,Unfurnished,"₹18,000",,"Howrah, Kolkata - Howrah District, West Bengal",,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Howrah-in-Kolkata&id=4d423634343833383637,,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,2(Out of 5 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 1201 Sq-ft For Rent in DCJ Homes,","₹13,000","Rajarhat, Kolkata",3.0,2.0,,,Immediately,Semi-Furnished,"₹13,000",,"Rajarhat, Kolkata - North, West Bengal",,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1201-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajarhat-in-Kolkata&id=4d423431393738363337,,1201sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,3(Out of 4 Floors),,,,DCJ Homes,,,,₹ 68.2 Lac - ₹ 94.2 Lac,Bedrock Global,"Fire Fighting Equipment,Retail Boulevard (Retail Shops),Kids Play Area,Indoor Games Room,Guest Accommodation,Flower Gardens,Conference Room,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Lift,Power Back Up",,"1, 2 BHK Flat","4 Towers , 51 Units",,,,,,,,,,,,,,,,,,,,,,
