Title,Rental_Price,Location,Bed,Baths,Carpet Area,Floor,Status,Furnished Status,Rental Value,Security Deposit,Address,Furnishing,link,Facing,Age Of Construction,Flooring,Overlooking,Age of Construction,Bath,Super Built-up Area,Developer,Project,Amenities,Price,Price per sqft,Configuration,Tower & Unit,Beds,Balcony,Balconies,Landmarks,Additional Rooms,Lifts,Water Availability,Status of Electricity,Floors allowed for construction,Lift,Car parking,Covered Parking,Tower,Authority Approval,Unit,Type of Ownership,RERA ID,Floors allowed,Plot Area,Any Construction done,Boundary Wall,Transaction Type
"2 BHK 924 Sq-ft Flat/Apartment  For Rent in Nahar Laurel and Lilac,","₹77,000","Chandivali, Mumbai",,2.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹118/sqft,12(Out of 20 Floors),Immediately,Furnished,"₹77,000",₹2.0 Lac,"Powai, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-924-Sq-ft-Multistorey-Apartment-FOR-Rent-Chandivali-in-Mumbai&id=4d423832383135323537,North - East,,Vitrified,Garden/Park,Less than 5 years,,,Nahar Group,Nahar Laurel and Lilac,"Fire Fighting Equipment,Recreational Pool,Outdoor Tennis Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Guest Accommodation,Flower Gardens,Jogging and Strolling Track,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.80 Cr - ₹ 2.06 Cr,"₹ 18,557 - ₹ 21,134",2 BHK Flats,"2 Towers , 352 Units",2.0,1.0,,near goodrej urban park,None of these,3.0,24 Hours Available,No/Rare Powercut,19.0,3.0,1 Covered,1.0,,,,,,,,,,
"2 BHK 890 Sq-ft Flat/Apartment  For Rent in Gundecha Greens,","₹47,000","Kandivali East, Mumbai",,2.0,660sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹71/sqft,10(Out of 14 Floors),Immediately,Unfurnished,"₹47,000|₹1Monthly Maintenance",₹2.0 Lac,"Thakur village, Kandivali East, Mumbai - Western Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-890-Sq-ft-Multistorey-Apartment-FOR-Rent-Kandivali-East-in-Mumbai&id=4d423833313531373733,East,,"Vitrified, Marble, Granite","Garden/Park, Main Road",Less than 5 years,,,The Gundecha Group,Gundecha Greens,"Piped Gas,Intercom Facility,Visitor Parking,Water Storage,Security,Reserved Parking,Swimming Pool,Club House,Rain Water Harvesting,Lift",₹ 95.6 Lac - ₹ 1.96 Cr,,2 BHK Flats,"1 Tower , 148 Units",2.0,,,near by relaince smart bazzar,None of these,2.0,24 Hours Available,No/Rare Powercut,,2.0,1 Open,,,,,,,,,,,
"3 BHK 1100 Sq-ft Flat/Apartment  For Rent in Piramal Aranya ,",₹1.7 Lac,"Byculla, Mumbai",,3.0,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹155/sqft,16(Out of 60 Floors),Immediately,Unfurnished,"₹1.7 Lac|₹14,000Monthly Maintenance",₹3.0 Lac,"ES Patanwala Marg, Byculla East, Byculla, Mumbai, Maharashtra 400010, Byculla, Mumbai - South Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Byculla-in-Mumbai&id=4d423738393139393737,East,,Marble,Garden/Park,Less than 5 years,,,Piramal Realty,Piramal Aranya,"Kids Splash Pool,Cricket net practice,Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Coffee Lounge & Restaurants,Library,Kids play area,Barbeque space,Water Front,Wine Cellar,Fireplace,Private Garage,Multipurpose Hall,Premium branded fittings,Grand Entrance lobby,Fingerprint Access,Large Open space,Located in the Heart of city,Health club with Steam / Jaccuzi,Theme based Architectures,Earth quake resistant,High Ceiling,Skydeck,Sea facing,Golf Course,Mini Cinema Theatre,Private pool,Concierge Services,House help accommodation,Full Glass Wall,Island Kitchen Layout,Downtown,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 5.78 Cr - ₹ 7.55 Cr,"₹ 25,385 - ₹ 63,636","2, 3, 4 BHK Flats","3 Towers , 1366 Units",3.0,1.0,,Westerly facing flat with gated community.,Puja Room,4.0,24 Hours Available,No/Rare Powercut,1.0,4.0,1 Covered,1.0,,,,,,,,,,
"2 BHK 1050 Sq-ft Flat/Apartment  For Rent in Ashok Nagar Complex,","₹65,000","Marol, Mumbai",,2.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹87/sqft,10(Out of 12 Floors),Immediately,Furnished,"₹65,000",₹2.0 Lac,"Andheri East, Mumbai, Marol, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-Marol-in-Mumbai&id=4d423832323734323831,East,,"Vitrified, Wooden","Garden/Park, Pool, Main Road",Less than 5 years,,,Ashok Jogani,Ashok Nagar Complex,"Fire Fighting Equipment,Kids Play Area,DTH Television Facility,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Swimming Pool,Lift,Power Back Up",₹ 1.93 Cr - ₹ 2.51 Cr,,"1, 2 BHK Flat","12 Towers , 351 Units",2.0,,,Seth Vasant Oasis,Store,2.0,24 Hours Available,No/Rare Powercut,12.0,2.0,,1.0,,,,,,,,,,
2 BHK  For Rent in,Call for Price,"Powai, Mumbai",,,,,Immediately,,,,"Powai, Mumbai - Central Mumbai, Maharashtra",,https://www.magicbricks.com/propertyDetails/2-BHK-Residential-House-FOR-Rent-Powai-in-Mumbai&id=4d423633313033333739,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
"1 BHK 586 Sq-ft Flat/Apartment  For Rent in Shree  Naman Premier,","₹55,000","Marol, Mumbai",1.0,2.0,435sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹126/sqft,11(Out of 16 Floors),Immediately,Semi-Furnished,"₹55,000",₹1.5 Lac,"Andheri East, Mumbai, Marol, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-586-Sq-ft-Multistorey-Apartment-FOR-Rent-Marol-in-Mumbai&id=4d423832323734363433,East,,Vitrified,"Garden/Park, Pool, Main Road",New Construction,,,Shree Naman Group,Shree  Naman Premier,"Community Hall,Half basketball court,Sewage treatment plant,Multipurpose Courts,Meditation Area,Flower Gardens,Event Space & Amphitheatre,Bank & ATM,AEROBICS ROOM,Library,CCTV Camera,Grand Entrance lobby,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.26 Cr - ₹ 1.98 Cr,,"1, 2 BHK Flat","1 Tower , 492 Units",,,,Seth Vasant Oasis,Store,3.0,24 Hours Available,No/Rare Powercut,16.0,3.0,,1.0,,,,,,,,,,
"3 BHK 1500 Sq-ft Flat/Apartment  For Rent in Evershine Cosmic,","₹88,000","Andheri West, Mumbai",,3.0,1050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹84/sqft,3(Out of 17 Floors),Immediately,Unfurnished,"₹88,000",₹3.0 Lac,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-West-in-Mumbai&id=4d423832323734343137,East,,Marble,Main Road,10 to 15 years,,,Evershine Builders,Evershine Cosmic,"Cycling & Jogging Track,Retail Boulevard (Retail Shops),Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Bank & ATM,Maintenance Staff,Visitor Parking,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.05 Cr - ₹ 3.60 Cr,"₹ 17,085 - ₹ 20,000","2, 3, 4 BHK Flats","3 Towers , 312 Units",3.0,1.0,,"Lower Oshiwara  Metro Line 6 station, Infiniti mall, Lokhandwala",Store,2.0,24 Hours Available,No/Rare Powercut,1.0,2.0,,1.0,,,,,,,,,,
2 BHK Flat 1200 Sq-ft For Rent in,₹1.3 Lac,"Wadala East, Mumbai",,2.0,955sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹140/sqft,,Immediately,Semi-Furnished,₹1.3 Lac,₹5.5 Lac,"Lodha New Cuffe parade SewriChembur Road Off Eastern Fwy near IMax Dome Wadala Mumbai Maharashtra, Wadala East, Mumbai - South Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Wadala-East-in-Mumbai&id=4d423639303430353935,West,Less than 5 years,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite","Garden/Park, Pool, Main Road",Less than 5 years,,,,,,,,,,2.0,,3.0,Near Lodha Oakwood School,,8.0,24 Hours Available,No/Rare Powercut,,8.0,1 Covered,1.0,,Developer,,,,,,,,
225 Sq-ft For Rent in,"₹20,000","Cotton Green, Mumbai",,,,21(Out of 25 Floors),Immediately,Unfurnished,"₹20,000",,"Cotton Green, Mumbai - South Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/225-Sq-ft-Studio-Apartment-FOR-Rent-Cotton-Green-in-Mumbai&id=4d423639303331383833,,,,,,1.0,225sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹89/sqft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 BHK Flat 2250 Sq-ft For Rent in Omkar Alta Monte,",₹1.6 Lac,"Malad East, Mumbai",,5.0,1833sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹87/sqft,27(Out of 64 Floors),Immediately,Semi-Furnished,₹1.6 Lac,₹7.0 Lac,"omkar alta monte tower d, Malad East, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Rent-Malad-East-in-Mumbai&id=4d423833343933393437,East,,"Vitrified, Wooden, Marble","Garden/Park, Main Road",New Construction,,,Omkar Realtors and Developers Pvt. Ltd.,Omkar Alta Monte,"Community Hall,Sewage treatment plant,Cycling & Jogging Track,CCTV Camera,Infinity Swimming Pool,Gymnasium,Rain Water Harvesting,Power Back Up",₹ 2.20 Cr - ₹ 10.78 Cr,"₹ 15,324 - ₹ 29,307","2, 3, 4, 5 BHK Flats","5 Towers , 1425 Units",3.0,,4.0,Off Western Express Highway,"Puja Room, Store, Servant Room",8.0,24 Hours Available,No/Rare Powercut,,8.0,,2.0,,,,,,,,,,
"2 BHK 1250 Sq-ft Flat/Apartment  For Rent in Hiranandani Gardens Kingston,","₹60,000","Powai, Mumbai",,2.0,750sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹80/sqft,8(Out of 14 Floors),Immediately,Semi-Furnished,"₹60,000",₹1.5 Lac,"powai Hiranandani, Powai, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423833373536373935,East,,Vitrified,"Pool, Garden/Park, Main Road",Less than 5 years,,,Hiranandani Group,Hiranandani Gardens Kingston,"Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Retail Boulevard (Retail Shops),Meditation Area,Library And Business Centre,Kids Play Area,Kids Club,Indoor Squash & Badminton Courts,Indoor Games Room,Event Space & Amphitheatre,Early Learning Centre,Dance Studio,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting",₹ 2.89 Cr - ₹ 4.0 Cr,,1 BHK Flat,"2 Towers , 120 Units",2.0,,,"d, mart",Store,2.0,24 Hours Available,No/Rare Powercut,,2.0,,,,,,,,,,,,
3 BHK Flat 1500 Sq-ft For Rent in,₹2.5 Lac,"Bandra West, Mumbai",,3.0,1400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹179/sqft,5(Out of 12 Floors),Immediately,Semi-Furnished,₹2.5 Lac,₹7.5 Lac,"khar west, Bandra West, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Bandra-West-in-Mumbai&id=4d423734333233383431,West,New Construction,"Vitrified, Ceramic Tiles, Marble","Pool, Main Road, Garden/Park",New Construction,,,,,,,,,,3.0,,,neat Royal Enfield showroom,"Puja Room, Study, Store, Servant Room",2.0,24 Hours Available,No/Rare Powercut,,2.0,"1 Covered, 1 Open",1.0,,,,,,,,,,
"1 BHK 600 Sq-ft Flat/Apartment  For Rent in Dudhsagar Apartment,","₹42,000","Goregaon East, Mumbai",1.0,,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹93/sqft,3(Out of 3 Floors),Immediately,Furnished,"₹42,000",₹1.5 Lac,"Goregaon East, Mumbai, Maharashtra, India., Goregaon East, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Goregaon-East-in-Mumbai&id=4d423833313532333939,East,Less than 5 years,Vitrified,Main Road,Less than 5 years,1.0,,,Dudhsagar Apartment,,₹ 1.96 Cr - ₹ 3.14 Cr,,,,,1.0,,Goregaon East,None of these,,24 Hours Available,No/Rare Powercut,3.0,1.0,1 Covered,1.0,,,,,,,,,,
"2 BHK 1400 Sq-ft Flat/Apartment  For Rent in Ashok Gardens,",₹1.4 Lac,"Sewri, Mumbai",,2.0,1000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹140/sqft,20(Out of 23 Floors),Immediately,Semi-Furnished,₹1.4 Lac,₹3.8 Lac,"Sewri, Mumbai, Sewri, Mumbai - South Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Rent-Sewri-in-Mumbai&id=4d423637353833343835,West,,Marble,Garden/Park,5 to 10 years,,,Peninsula Land Ltd.,Ashok Gardens,"Cycling & Jogging Track,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Event Space & Amphitheatre,Health club with Steam / Jaccuzi,Cafeteria/Food Court,Intercom Facility,Reserved Parking,Gymnasium,Swimming Pool,Club House,Power Back Up",₹ 3.65 Cr - ₹ 10.50 Cr,"₹ 37,453 - ₹ 42,708","2, 3, 4, 5 BHK Flats","2 Towers , 552 Units",2.0,,,,Servant Room,4.0,24 Hours Available,No/Rare Powercut,,4.0,,1.0,,,,,,,,,,
"3 BHK 1100 Sq-ft Flat/Apartment  For Rent in Piramal Aranya ,",₹1.5 Lac,"Byculla, Mumbai",,3.0,1100sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹136/sqft,16(Out of 60 Floors),Immediately,Unfurnished,"₹1.5 Lac|₹14,000Monthly Maintenance",₹3.0 Lac,"ES Patanwala Marg, Byculla East, Byculla, Mumbai, Maharashtra 400010, Byculla, Mumbai - South Mumbai, Maharashtra",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Byculla-in-Mumbai&id=4d423738393139393031,East,,Marble,Garden/Park,Less than 5 years,,,Piramal Realty,Piramal Aranya,"Kids Splash Pool,Cricket net practice,Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,Coffee Lounge & Restaurants,Library,Kids play area,Barbeque space,Water Front,Wine Cellar,Fireplace,Private Garage,Multipurpose Hall,Premium branded fittings,Grand Entrance lobby,Fingerprint Access,Large Open space,Located in the Heart of city,Health club with Steam / Jaccuzi,Theme based Architectures,Earth quake resistant,High Ceiling,Skydeck,Sea facing,Golf Course,Mini Cinema Theatre,Private pool,Concierge Services,House help accommodation,Full Glass Wall,Island Kitchen Layout,Downtown,Jogging and Strolling Track,Piped Gas,Conference Room,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Laundry Service,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 5.78 Cr - ₹ 7.55 Cr,"₹ 25,385 - ₹ 63,636","2, 3, 4 BHK Flats","3 Towers , 1366 Units",3.0,1.0,,Westerly facing flat with gated community.,Puja Room,4.0,24 Hours Available,No/Rare Powercut,1.0,4.0,1 Covered,1.0,,,,,,,,,,
"1 BHK 600 Sq-ft Flat/Apartment  For Rent in Roha Vatika,","₹40,000","Kurla East, Mumbai",1.0,2.0,444sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹90/sqft,8(Out of 17 Floors),Immediately,Semi-Furnished,"₹40,000",₹1.0 Lac,"Kurla East, Mumbai, Kurla East, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Kurla-East-in-Mumbai&id=4d423833303137363339,,Less than 5 years,Marble,Main Road,Less than 5 years,,,Roha Realty,Roha Vatika,"Fire Fighting Equipment,Meditation Area,AC in each room,Located in the Heart of city,Piped Gas,Laundry Service,Maintenance Staff,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Gymnasium,Rain Water Harvesting,Lift,Power Back Up",₹ 39.2 Lac - ₹ 1.12 Cr,,1 BHK Flats,"2 Towers , 290 Units",,,,"Roha Vatika, Nehru nagar, Kurla east.",None of these,2.0,24 Hours Available,No/Rare Powercut,3.0,2.0,1 Covered,1.0,,,,,,,,,,
"2 BHK 856 Sq-ft Flat/Apartment  For Rent in Marathon Monte South,",₹12.0 Lac,"Byculla, Mumbai",,3.0,,24(Out of 46 Floors),Immediately,Semi-Furnished,₹12 Lac,₹3.0 Lac,"Byculla, Mumbai, Byculla, Mumbai - South Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-856-Sq-ft-Multistorey-Apartment-FOR-Rent-Byculla-in-Mumbai&id=4d423833323834323337,,,,,,,"856sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹1,402/sqft",Marathon Realty & Adani Group,Marathon Monte South,"Fire Fighting Equipment,Cycling & Jogging Track,Kids Play Area,Indoor Squash & Badminton Courts,Flower Gardens,Premium branded fittings,Large Open space,Large Clubhouse,Located in the Heart of city,Theme based Architectures,Earth quake resistant,Skyline View,Outdoor Tennis Courts,Jogging and Strolling Track,Piped Gas,Waste Disposal,Intercom Facility,Visitor Parking,Air Conditioned,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up",₹ 3.84 Cr - ₹ 5.95 Cr,"₹ 26,553 - ₹ 55,556","2, 3 BHK Flats","4 Towers , 786 Units",2.0,1.0,,,,,,,20.0,,,,,,,,,,,,,
"2 BHK 850 Sq-ft Flat/Apartment  For Rent in Runwal Bliss,","₹74,999","Kanjurmarg East, Mumbai",,2.0,,28(Out of 50 Floors),Immediately,Semi-Furnished,"₹74,999",₹2.0 Lac,"kanjurmarg east, Kanjurmarg East, Mumbai - Central Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Kanjurmarg-East-in-Mumbai&id=4d423832383136343439,East,New Construction,,"Garden/Park, Pool, Main Road",New Construction,,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹88/sqft,Runwal Enterprises,Runwal Bliss,"Kids Splash Pool,Community Hall,Badminton court,Aesthetically designed landscape garden,Community entrance gate,Cricket net practice,Sewage treatment plant,Fire Fighting Equipment,Outdoor Tennis Courts,Multipurpose Courts,Meditation Area,Kids Play Pool With Water Slides,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Event Space & Amphitheatre,AEROBICS ROOM,Library,Kids play area,Barbeque space,CCTV Camera,Multipurpose Hall,Grand Entrance lobby,Infinity Swimming Pool,Mini Cinema Theatre,Garden View,Jogging and Strolling Track,Cafeteria/Food Court,Banquet Hall,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Service/Goods Lift,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.92 Cr - ₹ 2.89 Cr,"₹ 13,537 - ₹ 37,911","2, 3, 4 BHK Flats","8 Towers , 2144 Units",2.0,,,,"Puja Room, Study",,,,,,,,,,,,,,,,,
2 BHK Flat 1050 Sq-ft For Rent in,₹1.5 Lac,"Bandra West, Mumbai",,2.0,850sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹176/sqft,6(Out of 10 Floors),Immediately,Furnished,₹1.5 Lac,₹4.0 Lac,"Pali Hill Bandra West, Mumbai 400050, Bandra West, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-Bandra-West-in-Mumbai&id=4d423831393434393337,East,5 to 10 years,"Vitrified, Wooden",Garden/Park,5 to 10 years,,,,,,,,,,2.0,,,Located in the heart of Bandra West.,None of these,,24 Hours Available,No/Rare Powercut,10.0,1.0,1 Covered,1.0,,,,,,,,,,
"3 BHK 1385 Sq-ft Flat/Apartment  For Rent in Viceroy Park,","₹87,000","Thakur Village, Mumbai",,3.0,1080sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹81/sqft,16(Out of 22 Floors),Immediately,Semi-Furnished,"₹87,000|₹100One-Time Maintenance",₹3.0 Lac,"Kandivali East, Mumbai, Thakur Village, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1385-Sq-ft-Multistorey-Apartment-FOR-Rent-Thakur-Village-in-Mumbai&id=4d423832323734363935,East,,Vitrified,"Garden/Park, Main Road",Above 20 years,,,Bren Corporation,Viceroy Park,"Fire Fighting Equipment,Rentable Community Space,Recreational Pool,Outdoor Tennis Courts,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Coffee Lounge & Restaurants,Maintenance Staff,Visitor Parking,Vaastu Compliant,Private Terrace/Garden,Security,Reserved Parking,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up",₹ 3.50 Cr - ₹ 3.55 Cr,"₹ 25,271 - ₹ 25,632",3 BHK Flats,"4 Towers , 240 Units",3.0,1.0,,Thakur Village Kandivali East,"Store, Servant Room",3.0,24 Hours Available,No/Rare Powercut,4.0,3.0,,1.0,,,,,,,,,,
"2 BHK 1100 Sq-ft Flat/Apartment  For Rent in Oakland Park,","₹95,000","Andheri West, Mumbai",,2.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹136/sqft,4(Out of 7 Floors),Immediately,Furnished,"₹95,000",₹3.0 Lac,"YAMUNA NAGAR, Andheri West, Mumbai - Western Mumbai, Maharashtra",Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-West-in-Mumbai&id=4d423833303137363337,East,,Marble,"Main Road, Pool",15 to 20 years,,,RNA NG Builders,Oakland Park,,₹ 2.70 Cr - ₹ 3.24 Cr,"₹ 23,060 - ₹ 26,190","2, 3 BHK Flats","6 Towers , 188 Units",2.0,,,OPP TO CASA BLANCA BLDG,"Puja Room, Study, Store",2.0,24 Hours Available,No/Rare Powercut,,2.0,,1.0,,,,,,,,,,
2 BHK Flat 770 Sq-ft For Rent in,"₹80,000","Goregaon West, Mumbai",,2.0,728sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹110/sqft,16(Out of 39 Floors),Immediately,Semi-Furnished,"₹80,000",₹2.5 Lac,"Goregaon West, Mumbai - Western Mumbai, Maharashtra",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-770-Sq-ft-Multistorey-Apartment-FOR-Rent-Goregaon-West-in-Mumbai&id=4d423833363732343233,East,5 to 10 years,,"Pool, Garden/Park, Main Road",5 to 10 years,,,,,,,,,,2.0,,,Krishna vatika temple,Study,,,,,,,,,,,,,,,,,
